id,company,title,season,season_inferred,seasons,program,remote,category,location,sponsorship,h1b_approvals,salary,skills,posted_at,posted_at_source,first_seen_at,url
greenhouse:oldmissioncapital:7828063003,Old Mission Capital,Compliance Analyst Co-Op,Not stated,True,,Co-op,,GRC / Risk,"Chicago, IL, United States",unknown,8,$30/hr,Python; SQL,2026-08-05T13:24:37-04:00,exact,2026-08-12T03:53:22Z,https://www.oldmissioncapital.com/careers/?gh_jid=7828063003
workday:pentair:/job/Golden-Valley-MN/IT---Cybersecurity-Leadership-Development-Internship-Program----Summer-2027_R23700,Pentair,IT & Cybersecurity Leadership Development Internship Program -  Summer 2027,Summer 2027,False,,Internship,,Security (general),"Golden Valley, MN",no-sponsorship,,$31/hr,,2026-08-04T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://pentair.wd5.myworkdayjobs.com/pentair_careers/job/Golden-Valley-MN/IT---Cybersecurity-Leadership-Development-Internship-Program----Summer-2027_R23700
workday:globalhr:/job/US-IA-CEDAR-RAPIDS-112--400-Collins-Rd-NE--BLDG-112/Systems-Engineer-Intern---Summer-2027--Onsite-_01864173,RTX,Systems Engineer Intern - Summer 2027 (Onsite),Summer 2027,False,,Internship,,Systems & Cloud Infra,US-IA-CEDAR RAPIDS-112 ~ 400 Collins Rd NE ~ BLDG 112,no-sponsorship,,,Python; MATLAB,2026-08-04T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://globalhr.wd5.myworkdayjobs.com/Private_Posting_No_TMP/job/US-IA-CEDAR-RAPIDS-112--400-Collins-Rd-NE--BLDG-112/Systems-Engineer-Intern---Summer-2027--Onsite-_01864173
workday:thales:/job/Texas/AppSec-Product-Support-Intern_R0328978-1,Thales,AppSec Product Support Intern,Not stated,True,,Internship,,AppSec / Product Sec,Texas,unknown,,,,2026-08-04T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://thales.wd3.myworkdayjobs.com/careers/job/Texas/AppSec-Product-Support-Intern_R0328978-1
workday:cnoinc:/job/Carmel-IN/IT-Intern_JR170390,CNO Financial Group,Enterprise Architecture IT Intern - REMOTE,Summer 2027,False,,Internship,yes,IT Support / Ops,"Carmel, IN",unknown,,,,2026-08-03T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://cnoinc.wd5.myworkdayjobs.com/Careers/job/Carmel-IN/IT-Intern_JR170390
workday:medtronic:/job/Minneapolis-Minnesota-United-States-of-America/IT-Intern---Summer-2027_R73625-1,Medtronic,IT Intern - Summer 2027,Summer 2027,False,,Internship,,IT Support / Ops,"Minneapolis, Minnesota, United States of America",no-sponsorship,424,$23.25–$33.25/hr,Python; SQL; AWS,2026-08-03T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://medtronic.wd1.myworkdayjobs.com/MedtronicCareers/job/Minneapolis-Minnesota-United-States-of-America/IT-Intern---Summer-2027_R73625-1
workday:monolithicpower:/job/San-Jose-CA/Security-Analyst-Intern_R-982-1,Monolithic Power Systems,Security Analyst Intern,Not stated,True,,Internship,,Security (general),"San Jose, CA",unknown,20,$26/hr,Python; Bash; Kubernetes; Docker; Terraform; Git,2026-08-03T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://monolithicpower.wd12.myworkdayjobs.com/MPS_Careers/job/San-Jose-CA/Security-Analyst-Intern_R-982-1
workday:quickenloans:/job/Detroit-MI/Security-Services-Intern---Fall-2026_R-082242,Rocket Companies,Security Services Intern - Fall 2026,Fall 2026,False,,Internship,,Security (general),"Detroit, MI",unknown,,,,2026-07-30T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://quickenloans.wd5.myworkdayjobs.com/rocket_careers/job/Detroit-MI/Security-Services-Intern---Fall-2026_R-082242
oracle:edbz.fa.us2.oraclecloud.com:25016832,Texas Instruments,Network Engineer - Encore Program Internship,Not stated,True,,Internship,,Network / Telecom,"Dallas, TX, United States",no-sponsorship,234,,Python; AWS; GCP; Azure; Terraform,2026-07-29,date_only,2026-08-12T03:53:22Z,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/25016832
workday:bcbsla:/job/Remote-LA/CW-IT-Audit-Intern_R11951,Louisiana Blue,CW IT Audit Intern,Not stated,True,,Internship,yes,GRC / Risk,Remote-LA,unknown,,,,2026-07-29T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://bcbsla.wd1.myworkdayjobs.com/Generation_Blue/job/Remote-LA/CW-IT-Audit-Intern_R11951
workday:tamus:/job/Laredo-TX/Intern--Information-Technology--End-User-Support--OIT-_R-095335,Texas A&M International University,Intern- Information Technology (End User Support- OIT),Not stated,True,,Internship,,IT Support / Ops,"Laredo, TX",unknown,6,,,2026-07-28T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://tamus.wd1.myworkdayjobs.com/TAMIU_Student_Employment/job/Laredo-TX/Intern--Information-Technology--End-User-Support--OIT-_R-095335
greenhouse:appian:8088496,Appian,Information Security Engineer Intern,Summer 2027,False,,Internship,,Security (general),"McLean, Virginia",no-sponsorship,44,$50/hr,LLMs,2026-07-27T10:49:22-04:00,exact,2026-08-12T03:53:22Z,https://job-boards.greenhouse.io/appian/jobs/8088496
workday:cmu:/job/Pittsburgh-PA/Security-Services-Intern---Fall-Semester_2024907-1,Carnegie Mellon University,Security Services Intern - Fall Semester,Not stated,True,,Internship,,Security (general),"Pittsburgh, PA",no-sponsorship,164,,,2026-07-24T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://cmu.wd5.myworkdayjobs.com/cmu/job/Pittsburgh-PA/Security-Services-Intern---Fall-Semester_2024907-1
greenhouse:pdtpartners:8083292,PDT Partners,Summer 2027 Systems Engineering Intern,Summer 2027,False,,Internship,,Systems & Cloud Infra,"New York, NY",unknown,4,,Kubernetes,2026-07-24T16:16:11-04:00,exact,2026-08-12T03:53:22Z,https://job-boards.greenhouse.io/pdtpartners/jobs/8083292
workday:cat:/job/San-Diego-California/XMLNAME-2027-IT-Intern_R0000381898,Solar Turbines,2027 IT Intern,Summer 2027,False,,Internship,,IT Support / Ops,"San Diego, California",no-sponsorship,17,,,2026-07-23T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://cat.wd5.myworkdayjobs.com/solarturbines/job/San-Diego-California/XMLNAME-2027-IT-Intern_R0000381898
workday:prysmiangroup:/job/Highland-Heights-KY/IT-Intern_R-34910,Prysmian Cables & Systems,IT Intern,Not stated,True,,Internship,,IT Support / Ops,"Highland Heights, KY",unknown,,,Python; JavaScript; LLMs,2026-07-21T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://prysmiangroup.wd3.myworkdayjobs.com/careers/job/Highland-Heights-KY/IT-Intern_R-34910
workday:swbc:/job/San-Antonio-TX/Security-Intern_R0015253,SWBC,Security Intern,Not stated,True,,Internship,,Security (general),"San Antonio, TX",unknown,,,,2026-07-21T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://swbc.wd1.myworkdayjobs.com/swbccareers/job/San-Antonio-TX/Security-Intern_R0015253
ashby:notion:6ccbc30c-2de0-4395-af14-3641cd15961b,Notion,"Governance, Risk, and Compliance Intern (Fall 2026)",Fall 2026,False,,Internship,,GRC / Risk,"San Francisco, California",unknown,,,Python,2026-07-15T23:18:57.929+00:00,exact,2026-08-12T03:53:22Z,https://jobs.ashbyhq.com/notion/6ccbc30c-2de0-4395-af14-3641cd15961b
workday:tencent:/job/US-California-Palo-Alto/IT-Operations-Intern_R107720,Tencent,IT Operations Intern,Not stated,True,,Internship,,Other,US-California-Palo Alto,unknown,,$28.27–$60/hr,Tableau,2026-07-14T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://tencent.wd1.myworkdayjobs.com/Tencent_Careers/job/US-California-Palo-Alto/IT-Operations-Intern_R107720
greenhouse:akunacapital:8018856,Akuna Capital,"Platform Engineer Intern, Summer 2027",Summer 2027,False,,Internship,,Systems & Cloud Infra,"Chicago, IL",unknown,40,,AWS; Kubernetes,2026-07-13T14:21:52-04:00,exact,2026-08-12T03:53:22Z,https://www.akunacapital.com/careers/job/8018856/?gh_jid=8018856
greenhouse:drweng:7993195,DRW,Leadership Rotation Network Intern,Not stated,True,,Internship,,Network / Telecom,"Chicago, IL",no-sponsorship,31,,Python; SQL; Pandas; Git,2026-07-13T10:10:38-04:00,exact,2026-08-12T03:53:22Z,https://job-boards.greenhouse.io/drweng/jobs/7993195
greenhouse:systemstechnologyresearch:4693331006,STR,Sensors Fall/Spring Co-op – RF Systems Engineer,Not stated,True,,Co-op,,Network / Telecom,"Woburn, MA",citizens-only,,,Python; MATLAB; Computer Vision,2026-07-07T08:59:07-04:00,exact,2026-08-12T03:53:22Z,https://job-boards.greenhouse.io/systemstechnologyresearch/jobs/4693331006
workday:motorolasolutions:/job/Los-Angeles-CA/R-D-Intern---Wireless-Systems-Engineer---2026_R62376,Motorola,R&D Intern - Wireless Systems Engineer - 2026,Fall 2026,False,,Internship,,Network / Telecom,"Los Angeles, CA",citizens-only,,,MATLAB,2026-03-30T00:00:00Z,date_only,2026-08-12T03:53:22Z,https://motorolasolutions.wd5.myworkdayjobs.com/Careers/job/Los-Angeles-CA/R-D-Intern---Wireless-Systems-Engineer---2026_R62376
